product,face_recog,pill_cv,intake_confirm,offline,self_hostable,capacity_meds,source_url
Hero Health,false,false,false,false,false,10,https://herohealth.com/our-product/
MedMinder,false,false,false,true,false,28,https://www.theseniorlist.com/medication/dispensers/
Livi,false,false,false,false,false,28,https://www.theseniorlist.com/medication/dispensers/
Pillo,true,false,false,false,false,,https://mobileidworld.com/archive/medication-robot-face-recognition-107063/
PharmGuard,true,true,true,true,true,16,https://github.com/limjiale/IDP_PharmGuard
